"Página","Curso","Categoria","Gratuito","URL do curso"
"9","Mobile Marketing","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/mobile-marketing/"
"9","Eu Capacito – Desenvolvedor Salesforce","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/desenvolvedor-salesforce/"
"9","Exploring SAP Datasphere","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/exploring-sap-datasphere/"
"9","Introdução à programação orientada a objeto com o Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/programacao-orientada-a-objeto-em-python/"
"9","Curso fluêncIA","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/curso-fluencia/"
"9","Processamento de linguagem natural e visão por computador","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/processamento-de-linguagem-natural-e-visao-por-computador/"
"9","Crie elementos visuais e relatórios do Power BI","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/powerbusiness-intelligence/"
"10","Carreira em Cibersegurança","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/carreira-em-ciberseguranca/"
"10","Fundamentos de Design de Experiência do Usuário (Credencial em Inglês)","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/fundamentos-de-design-de-experiencia-do-usuario-credencial-em-ingles/"
"10","O que é segurança cibernética?","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/o-que-e-seguranca-cibernetica/"
"10","Torne-se um Especialista em Atendimento ao Cliente","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/especialista-em-atendimento-ao-cliente/"
"10","Aprenda espanhol para contar experiências","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/aprenda-espanhol-para-contar-experiencias/"
"10","PHP","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/php/"
"10","Fundamentos de Desenvolvimento Web","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/fundamentos-de-desenvolvimento-web/"
"10","Escreva seu primeiro código usando C# (Introdução ao C#, Parte 1)","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/de-seus-primeiros-passos-com-o-c/"
"10","Inteligência artificial na prática","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/inteligencia-artificial-na-pratica/"
"11","Lógica com Javascript","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/logica-com-javascript/"
"11","Networking eficaz","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/networking-eficaz/"
"11","O que é ciência de dados?","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/o-que-e-a-ciencia-de-dados/"
"11","Excel – do básico ao intermediário","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/excel-do-basico-ao-intermediario/"
"11","Aprenda sobre DevOps em Oracle Cloud","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/aprenda-sobre-devops-em-oracle-cloud/"
"11","Modelar dados com o Power BI","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/modele-dados-no-power-bi/"
"11","Profissionalizante – Escola do Trabalhador 4.0","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/profissionalizante-escola-do-trabalhador-4-0/"
"11","Responsabilidades do especialista em conscientização sobre segurança","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/security-specialist/"
"11","Ciência de Dados: Primeiros Passos","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/introducao-ciencia-de-dados/"
"12","Fundamentos da segurança cibernética","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/fundamentos-seguranca-cibernetica-ibm/"
"12","Aumente a produtividade no trabalho","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/aumente-a-produtividade-no-trabalho/"
"12","Seu futuro na IA: o panorama de trabalho","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/seu-futuro-na-ia-o-panorama-de-trabalho/"
"12","XP: Educação Financeira – Escola do Trabalhador 4.0","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/xp-educacao-financeira-escola-do-trabalhador-4-0/"
"12","Conceitos básicos da rede de computadores","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/rede-de-computadores/"
"12","Dynamics 365 – Escola do Trabalhador 4.0","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/dynamics-365-escola-do-trabalhador-4-0/"
"12","JavaScript e DOM","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/javascript-e-dom/"
"12","Programação Orientada a Objetos em Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/programacao-orientada-a-objetos-em-python/"
"12","SEO e Marketing de Conteúdo","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/seo-e-marketing-de-conteudo/"
"13","Agentes Autônomos (Agentic AI)","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/agentes-autonomos-agentic-ai/"
"13","Aprendizado de máquina e Deep learning","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/aprendizado-de-maquina-e-deep-learning/"
"13","Transmita as suas ideias através de histórias e design","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/transmita-as-suas-ideias-atraves-de-historias-e-design/"
"13","Encontre um novo emprego com a Google","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/encontre-um-novo-emprego-com-a-google/"
"13","Construa seus próprios chatbots","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/construa-seus-proprios-chatbots-ibm/"
"13","IBM e a segurança cibernética","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/ibm-e-a-seguranca-cibernetica/"
"13","Aprenda a gerir o seu tempo","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/aprenda-a-gerir-o-seu-tempo/"
"13","Android","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/android/"
"13","O que é Computação em Nuvem?","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/o-que-e-computacao-em-nuvem/"
"14","Suporte de Clientes Digitais","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/suporte-de-clientes-digitais/"
"14","Fundamentos do Desenvolvimento Web (Credencial em Inglês)","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/fundamentos-do-desenvolvimento-web-credencial-em-ingles/"
"14","Letramento Digital – Escola do Trabalhador 4.0","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/letramento-digital-escola-do-trabalhador-4-0/"
"14","Fundamentos de Dados","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/fundamentos-de-dados-ibm/"
"14","Desenvolva aplicaçoes em Oracle Cloud – Oracle Cloud Developer","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/oracle-cloud-developer/"
"14","Princípios básicos de design: uma colaboração da Adobe e da IBM","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/principios-basicos-de-design/"
"14","Habilidades Profissionais","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/habilidades-profissionais-ibm/"
"14","Fundamentos do Power BI","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/fundamentos-do-power-bi/"
"14","Princípios básicos do Microsoft Azure: descrever os conceitos de nuvem","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/conceitos-da-computacao-em-nuvem/"
"15","Planejamento financeiro para o seu sonho em tech","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/planejamento-financeiro-para-o-seu-sonho-em-tech/"
"15","Curso de Ciência de Dados","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/curso-de-ciencia-de-dados/"
"15","Generative AI for Design","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/generative-ai-for-design/"
"15","Computação em Nuvem – Primeiros passos","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/computacao-em-nuvem/"
"15","Construa a sua carreira de Marketing com Salesforce","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/marketing-com-salesforce/"
"15","Comunicação estratégica e trabalho em equipe","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/comunicacao-estrategica-e-trabalho-em-equipe/"
"15","Preparar dados para análise com o Power BI","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/prepare-dados-para-analise/"
"15","Segurança cibernética – Primeiros passos","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/introducao-a-seguranca-cibernetica-ibm/"
"15","Apresente com propósito","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/apresente-com-proposito/"
"16","Crie um ótimo currículo profissional","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/crie-um-otimo-curriculo-profissional/"
"16","Segurança digital para o seu dia a dia","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/seguranca-digital-para-o-seu-dia-a-dia/"
"16","Lightning Experience Reports & Dashboards Specialist","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/lightning-experience-reports-dashboards/"
